Site,Pit,Date in,Date out,Month,NH4 ppm,NH4(mg N/L) ,vol of KCl (L) ,NH4 (mg N) ,Number of resin strips ,NH4 (mg N/ resin strip) ,area of resin strip (cm2),NH4 (mg N/ cm2) ,deployment (days),N adsorbed (mg N cm-2 day-1) ,N adsorbed (ug N cm-2 day-1) ,N adsorbed (ug N cm-2 week-1) ,N adsorbed (ug N cm-2 30 days-1) 
Hungerford Dry,1,4/1/2024,5/15/2024,,0.0994134,0.099413,0.06,0.005964804,1,0.005964804,11.4,0.00052,44,0.0000118916,0.012,0.083240885,0.356746651
Hungerford Dry,2,4/1/2024,5/15/2024,,0.0889993,0.088999,0.06,0.005339958,1,0.005339958,11.4,0.00047,44,0.0000106458,0.011,0.074520945,0.319375478
Hungerford Wet,1,4/1/2024,5/15/2024,,0.086244,0.086244,0.06,0.00517464,1,0.00517464,11.4,0.00045,44,0.0000103163,0.01,0.072213876,0.309488038
Hungerford Wet,2,4/1/2024,5/15/2024,,0.0988997,0.0989,0.06,0.005933982,1,0.005933982,11.4,0.00052,44,0.0000118301,0.012,0.082810754,0.35490323
Hungerford Wet,3,4/1/2024,5/15/2024,,0.1181868,0.118187,0.06,0.007091208,1,0.007091208,11.4,0.00062,44,0.0000141372,0.014,0.098960239,0.424115311
Hungerford Wet,5,4/1/2024,5/15/2024,,0.3518269,0.351827,0.06,0.021109614,1,0.021109614,11.4,0.00185,44,0.0000420846,0.042,0.294591902,1.262536722
Wade Dry,1,3/27/2024,5/15/2024,,0.086399667,0.0864,0.06,0.00518398,1,0.00518398,11.4,0.00045,49,0.00000928031,0.009,0.064962155,0.278409237
Wade Dry,2,3/27/2024,5/15/2024,,0.084126933,0.084127,0.06,0.005047616,1,0.005047616,11.4,0.00044,49,0.00000903619,0.009,0.063253333,0.271085714
Wade Dry,3,3/27/2024,5/15/2024,,0.0847496,0.08475,0.06,0.005084976,1,0.005084976,11.4,0.00045,49,0.00000910307,0.009,0.063721504,0.273092159
Wade Dry,4,3/27/2024,5/15/2024,,0.0832552,0.083255,0.06,0.004995312,1,0.004995312,11.4,0.00044,49,0.00000894256,0.009,0.062597895,0.268276692
Wade Dry,5,3/27/2024,5/15/2024,,0.0826014,0.082601,0.06,0.004956084,1,0.004956084,11.4,0.00043,49,0.00000887233,0.009,0.062106316,0.266169925
Wade Wet,1,3/27/2024,5/15/2024,,0.080577733,0.080578,0.06,0.004834664,1,0.004834664,11.4,0.00042,49,0.00000865497,0.009,0.060584762,0.25964898
Wade Wet,6,3/27/2024,5/15/2024,,0.090571533,0.090572,0.06,0.005434292,1,0.005434292,11.4,0.00048,49,0.00000972841,0.01,0.068098897,0.291852417
Wade Wet,7,3/27/2024,5/15/2024,,0.088547867,0.088548,0.06,0.005312872,1,0.005312872,11.4,0.00047,49,0.00000951105,0.01,0.066577343,0.285331472
Wade Wet,8,3/27/2024,5/15/2024,,0.0810136,0.081014,0.06,0.004860816,1,0.004860816,11.4,0.00043,49,0.00000870178,0.009,0.060912481,0.261053491
Hungerford Dry,1,5/15/2024,6/14/2024,,0.2875792,0.287579,0.06,0.017254752,1,0.017254752,11.4,0.00151,30,0.0000504525,0.05,0.353167439,1.513574737
Hungerford Dry,2,5/15/2024,6/14/2024,,0.290602133,0.290602,0.06,0.017436128,1,0.017436128,11.4,0.00153,30,0.0000509828,0.051,0.356879813,1.529484912
Hungerford Wet,1,5/15/2024,6/14/2024,,0.2973968,0.297397,0.06,0.017843808,1,0.017843808,11.4,0.00157,30,0.0000521749,0.052,0.36522414,1.565246316
Hungerford Wet,2,5/15/2024,6/14/2024,,0.302527467,0.302527,0.06,0.018151648,1,0.018151648,11.4,0.00159,30,0.000053075,0.053,0.371524959,1.592249825
Hungerford Wet,3,5/15/2024,6/14/2024,,0.288771733,0.288772,0.06,0.017326304,1,0.017326304,11.4,0.00152,30,0.0000506617,0.051,0.354631953,1.519851228
Hungerford Wet,5,5/15/2024,6/14/2024,,0.289021333,0.289021,0.06,0.01734128,1,0.01734128,11.4,0.00152,30,0.0000507055,0.051,0.35493848,1.521164912
Wade Dry,1,5/15/2024,6/14/2024,,0.300419733,0.30042,0.06,0.018025184,1,0.018025184,11.4,0.00158,30,0.0000527052,0.053,0.368936515,1.581156491
Wade Dry,2,5/15/2024,6/14/2024,,0.288744,0.288744,0.06,0.01732464,1,0.01732464,11.4,0.00152,30,0.0000506568,0.051,0.354597895,1.519705263
Wade Dry,3,5/15/2024,6/14/2024,,0.296370667,0.296371,0.06,0.01778224,1,0.01778224,11.4,0.00156,30,0.0000519949,0.052,0.363963977,1.559845614
Wade Dry,4,5/15/2024,6/14/2024,,0.2915728,0.291573,0.06,0.017494368,1,0.017494368,11.4,0.00153,30,0.0000511531,0.051,0.35807186,1.534593684
Wade Dry,5,5/15/2024,6/14/2024,,0.327321067,0.327321,0.06,0.019639264,1,0.019639264,11.4,0.00172,30,0.0000574247,0.057,0.40197324,1.722742456
Wade Wet,1,5/15/2024,6/14/2024,,0.288133867,0.288134,0.06,0.017288032,1,0.017288032,11.4,0.00152,30,0.0000505498,0.051,0.353848608,1.516494035
Wade Wet,6,5/15/2024,6/14/2024,,0.297341333,0.297341,0.06,0.01784048,1,0.01784048,11.4,0.00156,30,0.0000521651,0.052,0.365156023,1.564954386
Wade Wet,7,5/15/2024,6/14/2024,,0.2859152,0.285915,0.06,0.017154912,1,0.017154912,11.4,0.0015,30,0.0000501606,0.05,0.35112393,1.504816842
Wade Wet,8,5/15/2024,6/14/2024,,0.287884267,0.287884,0.06,0.017273056,1,0.017273056,11.4,0.00152,30,0.000050506,0.051,0.353542082,1.515180351
Hungerford Dry,1,6/14/2024,7/22/2024,,0.36261,0.36261,0.06,0.0217566,1,0.0217566,11.4,0.00191,38,0.000050223,0.05,0.351560942,1.506689751
Hungerford Dry,2,6/14/2024,7/22/2024,,0.2652036,0.265204,0.06,0.015912216,1,0.015912216,11.4,0.0014,38,0.0000367318,0.037,0.257122604,1.101954017
Hungerford Wet,1,6/14/2024,7/22/2024,,0.271120533,0.271121,0.06,0.016267232,1,0.016267232,11.4,0.00143,38,0.0000375513,0.038,0.262859243,1.126539612
Hungerford Wet,2,6/14/2024,7/22/2024,,0.292201467,0.292201,0.06,0.017532088,1,0.017532088,11.4,0.00154,38,0.0000404711,0.04,0.283297821,1.214133518
Hungerford Wet,3,6/14/2024,7/22/2024,,0.265619867,0.26562,0.06,0.015937192,1,0.015937192,11.4,0.0014,38,0.0000367895,0.037,0.257526187,1.103683657
Hungerford Wet,5,6/14/2024,7/22/2024,,0.266036133,0.266036,0.06,0.015962168,1,0.015962168,11.4,0.0014,38,0.0000368471,0.037,0.257929769,1.105413296
Wade Dry,1,6/14/2024,7/22/2024,,0.268058,0.268058,0.06,0.01608348,1,0.01608348,11.4,0.00141,38,0.0000371271,0.037,0.259890028,1.113814404
Wade Dry,2,6/14/2024,7/22/2024,,0.553795333,0.553795,0.06,0.03322772,1,0.03322772,11.4,0.00291,38,0.000076703,0.077,0.536920683,2.301088643
Wade Dry,3,6/14/2024,7/22/2024,,0.283192267,0.283192,0.06,0.016991536,1,0.016991536,11.4,0.00149,38,0.0000392233,0.039,0.274563139,1.176699169
Wade Dry,4,6/14/2024,7/22/2024,,0.263657467,0.263657,0.06,0.015819448,1,0.015819448,11.4,0.00139,38,0.0000365177,0.037,0.255623583,1.09552964
Wade Dry,5,6/14/2024,7/22/2024,,0.270347467,0.270347,0.06,0.016220848,1,0.016220848,11.4,0.00142,38,0.0000374442,0.037,0.262109732,1.123327424
Wade Wet,1,6/14/2024,7/22/2024,,0.26003,0.26003,0.06,0.0156018,1,0.0156018,11.4,0.00137,38,0.0000360152,0.036,0.252106648,1.080457064
Wade Wet,5,6/14/2024,7/22/2024,,0.288157733,0.288158,0.06,0.017289464,1,0.017289464,11.4,0.00152,38,0.000039911,0.04,0.279377304,1.197331302
Wade Wet,6,6/14/2024,7/22/2024,,0.278702533,0.278703,0.06,0.016722152,1,0.016722152,11.4,0.00147,38,0.0000386015,0.039,0.270210212,1.158043767
Wade Wet,7,6/14/2024,7/22/2024,,0.259881333,0.259881,0.06,0.01559288,1,0.01559288,11.4,0.00137,38,0.0000359946,0.036,0.251962512,1.079839335
Wade Wet,8,6/14/2024,7/22/2024,,0.261516667,0.261517,0.06,0.015691,1,0.015691,11.4,0.00138,38,0.0000362211,0.036,0.253548015,1.086634349
Hungerford Dry,1,7/22/2024,9/6/2024,,3.499636892,3.499637,0.06,0.209978214,1,0.209978214,11.4,0.01842,46,0.000400416,0.4,2.802912842,12.01248361
Hungerford Dry,2,7/22/2024,9/6/2024,,1.56063907,1.560639,0.06,0.093638344,1,0.093638344,11.4,0.00821,46,0.000178563,0.179,1.249939759,5.356884681
Hungerford Wet,1,7/22/2024,9/6/2024,,0.602033406,0.602033,0.06,0.036122004,1,0.036122004,11.4,0.00317,46,0.0000688825,0.069,0.482177785,2.066476222
Hungerford Wet,2,7/22/2024,9/6/2024,,2.290486565,2.290487,0.06,0.137429194,1,0.137429194,11.4,0.01206,46,0.000262069,0.262,1.834485807,7.862082031
Hungerford Wet,3,7/22/2024,9/6/2024,,1.371822803,1.371823,0.06,0.082309368,1,0.082309368,11.4,0.00722,46,0.000156959,0.157,1.098713916,4.708773924
Hungerford Wet,5,7/22/2024,9/6/2024,,0.779956427,0.779956,0.06,0.046797386,1,0.046797386,11.4,0.00411,46,0.0000892399,0.089,0.624679061,2.677195974
Wade Dry,1,7/22/2024,9/6/2024,,2.748002905,2.748003,0.06,0.164880174,1,0.164880174,11.4,0.01446,46,0.000314417,0.314,2.200917658,9.43250425
Wade Dry,2,7/22/2024,9/6/2024,,0.347857662,0.347858,0.06,0.02087146,1,0.02087146,11.4,0.00183,46,0.0000398006,0.04,0.278604534,1.194019433
Wade Dry,3,7/22/2024,9/6/2024,,1.117647059,1.117647,0.06,0.067058824,1,0.067058824,11.4,0.00588,46,0.000127877,0.128,0.895140665,3.836317136
Wade Dry,4,7/22/2024,9/6/2024,,0.602033406,0.602033,0.06,0.036122004,1,0.036122004,11.4,0.00317,46,0.0000688825,0.069,0.482177785,2.066476222
Wade Dry,5,7/22/2024,9/6/2024,,1.422657952,1.422658,0.06,0.085359477,1,0.085359477,11.4,0.00749,46,0.000162776,0.163,1.139428566,4.883265282
Wade Wet,1,7/22/2024,9/6/2024,,0.456790123,0.45679,0.06,0.027407407,1,0.027407407,11.4,0.0024,46,0.0000522643,0.052,0.365850213,1.567929486
Wade Wet,5,7/22/2024,9/6/2024,,2.068990559,2.068991,0.06,0.124139434,1,0.124139434,11.4,0.01089,46,0.000236727,0.237,1.65708626,7.101798258
Wade Wet,6,7/22/2024,9/6/2024,,3.100217865,3.100218,0.06,0.186013072,1,0.186013072,11.4,0.01632,46,0.000354716,0.355,2.48301202,10.64148009
Wade Wet,7,7/22/2024,9/6/2024,,0.69644154,0.696442,0.06,0.041786492,1,0.041786492,11.4,0.00367,46,0.0000796844,0.08,0.557790707,2.3905316
Wade Wet,8,7/22/2024,9/6/2024,,0.289760349,0.28976,0.06,0.017385621,1,0.017385621,11.4,0.00153,46,0.0000331534,0.033,0.232073506,0.994600739
Potash Dry,1,7/15/2024,8/28/2024,,74.42523506,74.425235,0.06,4.465514104,1,4.465514104,11.4,0.39171,44,0.00890254,8.903,62.31778055,267.0762024
Potash Dry,2,7/15/2024,8/28/2024,,25.88110403,25.881104,0.06,1.552866242,1,1.552866242,11.4,0.13622,44,0.003095826,3.096,21.67078089,92.87477524
Potash Dry,3,7/15/2024,8/28/2024,,1.099491649,1.099492,0.06,0.065969499,1,0.065969499,11.4,0.00579,44,0.000131518,0.132,0.920626978,3.945544193
Potash Dry,4,7/15/2024,8/28/2024,,2.893246187,2.893246,0.06,0.173594771,1,0.173594771,11.4,0.01523,44,0.000346082,0.346,2.422574559,10.38246239
Hungerford Dry,1,9/6/2024,10/8/2024,,0.978627672,0.978628,0.06,0.05871766,1,0.05871766,11.4,0.00515,32,0.000160958,0.161,1.12670949,4.828754958
Hungerford Dry,2,9/6/2024,10/8/2024,,82.44767971,82.44768,0.06,4.946860783,1,4.946860783,11.4,0.43394,32,0.013560474,13.56,94.92331545,406.8142091
Hungerford Wet,1,9/6/2024,10/8/2024,,1.200190885,1.200191,0.06,0.072011453,1,0.072011453,11.4,0.00632,32,0.0001974,0.197,1.381798717,5.921994499
Hungerford Wet,2,9/6/2024,10/8/2024,,230.6339096,230.63391,0.06,13.83803458,1,13.83803458,11.4,1.21386,32,0.037933209,37.933,265.5324617,1137.996265
Hungerford Wet,3,9/6/2024,10/8/2024,,0.828646419,0.828646,0.06,0.049718785,1,0.049718785,11.4,0.00436,32,0.000136291,0.136,0.954033706,4.088715884
Hungerford Wet,5,9/6/2024,10/8/2024,,3.344241061,3.344241,0.06,0.200654464,1,0.200654464,11.4,0.0176,32,0.00055004,0.55,3.850277537,16.50118944
Wade Dry,1,9/6/2024,10/8/2024,,0.988853666,0.988854,0.06,0.05933122,1,0.05933122,11.4,0.0052,32,0.00016264,0.163,1.138482839,4.879212168
Wade Dry,2,9/6/2024,10/8/2024,,0.395745986,0.395746,0.06,0.023744759,1,0.023744759,11.4,0.00208,32,0.0000650898,0.065,0.455628603,1.952694011
Wade Dry,3,9/6/2024,10/8/2024,,1.063844292,1.063844,0.06,0.063830658,1,0.063830658,11.4,0.0056,32,0.000174974,0.175,1.224820731,5.249231705
Wade Dry,4,9/6/2024,10/8/2024,,0.879776392,0.879776,0.06,0.052786583,1,0.052786583,11.4,0.00463,32,0.0001447,0.145,1.012900451,4.341001932
Wade Dry,5,9/6/2024,10/8/2024,,0.576405222,0.576405,0.06,0.034584313,1,0.034584313,11.4,0.00303,32,0.0000948035,0.095,0.663624433,2.844104714
Wade Wet,1,9/6/2024,10/8/2024,,0.480962607,0.480963,0.06,0.028857756,1,0.028857756,11.4,0.00253,32,0.0000791057,0.079,0.553739844,2.373170758
Wade Wet,5,9/6/2024,10/8/2024,,0.542318574,0.542319,0.06,0.032539114,1,0.032539114,11.4,0.00285,32,0.0000891971,0.089,0.624379937,2.675914016
Wade Wet,6,9/6/2024,10/8/2024,,0.995670996,0.995671,0.06,0.05974026,1,0.05974026,11.4,0.00524,32,0.000163762,0.164,1.146331738,4.912850308
Wade Wet,7,9/6/2024,10/8/2024,,0.337798684,0.337799,0.06,0.020267921,1,0.020267921,11.4,0.00178,32,0.000055559,0.056,0.388912959,1.666769824
Wade Wet,8,9/6/2024,10/8/2024,,0.849098408,0.849098,0.06,0.050945904,1,0.050945904,11.4,0.00447,32,0.000139654,0.14,0.977580404,4.189630303
Potash Dry,1,8/28/2024,10/18/2024,,1.060435627,1.060436,0.06,0.063626138,1,0.063626138,11.4,0.00558,51,0.000109436,0.109,0.766052569,3.283082438
Potash Dry,2,8/28/2024,10/18/2024,,18.26553672,18.265537,0.06,1.095932203,1,1.095932203,11.4,0.09613,51,0.001884988,1.885,13.19491817,56.5496493
Potash Dry,3,8/28/2024,10/18/2024,,0.828646419,0.828646,0.06,0.049718785,1,0.049718785,11.4,0.00436,51,0.0000855156,0.086,0.598609384,2.56546879
Potash Dry,4,8/28/2024,10/18/2024,,11.37505539,11.375055,0.06,0.682503323,1,0.682503323,11.4,0.05987,51,0.001173896,1.174,8.217274276,35.21688975
Hungerford Dry,1,10/8/2024,11/14/2024,,2.191489362,2.191489,0.06,0.131489362,1,0.131489362,11.4,0.01153,37,0.000311734,0.312,2.182137345,9.352017191
Hungerford Dry,2,10/8/2024,11/14/2024,,4.282485876,4.282486,0.06,0.256949153,1,0.256949153,11.4,0.02254,37,0.000609173,0.609,4.264210687,18.27518866
Hungerford Wet,1,10/8/2024,11/14/2024,,2.684397163,2.684397,0.06,0.16106383,1,0.16106383,11.4,0.01413,37,0.000381849,0.382,2.672941699,11.45546442
Hungerford Wet,2,10/8/2024,11/14/2024,,291.9017288,291.901729,0.06,17.51410373,1,17.51410373,11.4,1.53632,37,0.041522294,41.522,290.65606,1245.668829
Hungerford Wet,3,10/8/2024,11/14/2024,,3.024822695,3.024823,0.06,0.181489362,1,0.181489362,11.4,0.01592,37,0.000430273,0.43,3.01191449,12.90820496
Hungerford Wet,5,10/8/2024,11/14/2024,,1.971631206,1.971631,0.06,0.118297872,1,0.118297872,11.4,0.01038,37,0.00028046,0.28,1.963217417,8.413788929
Wade Dry,1,10/8/2024,11/14/2024,,0.237588652,0.237589,0.06,0.014255319,1,0.014255319,11.4,0.00125,37,0.0000337964,0.034,0.236574761,1.013891831
Wade Dry,2,10/8/2024,11/14/2024,,0.989361702,0.989362,0.06,0.059361702,1,0.059361702,11.4,0.00521,37,0.000140734,0.141,0.985139675,4.222027178
Wade Dry,3,10/8/2024,11/14/2024,,0.287234043,0.287234,0.06,0.017234043,1,0.017234043,11.4,0.00151,37,0.0000408583,0.041,0.286008293,1.225749826
Wade Dry,4,10/8/2024,11/14/2024,,1.361702128,1.361702,0.06,0.081702128,1,0.081702128,11.4,0.00717,37,0.000193699,0.194,1.355891166,5.810962138
Wade Dry,5,10/8/2024,11/14/2024,,0.783687943,0.783688,0.06,0.047021277,1,0.047021277,11.4,0.00412,37,0.000111478,0.111,0.780343613,3.344329772
Wade Wet,1,10/8/2024,11/14/2024,,1.138297872,1.138298,0.06,0.068297872,1,0.068297872,11.4,0.00599,37,0.00016192,0.162,1.133440271,4.857601162
Wade Wet,5,10/8/2024,11/14/2024,,1.127659574,1.12766,0.06,0.067659574,1,0.067659574,11.4,0.00594,37,0.000160407,0.16,1.122847371,4.81220302
Wade Wet,6,10/8/2024,11/14/2024,,1.358156028,1.358156,0.06,0.081489362,1,0.081489362,11.4,0.00715,37,0.000193194,0.193,1.352360199,5.795829424
Wade Wet,7,10/8/2024,11/14/2024,,0.15248227,0.152482,0.06,0.009148936,1,0.009148936,11.4,0.0008,37,0.0000216902,0.022,0.151831563,0.650706698
Wade Wet,8,10/8/2024,11/14/2024,,0.159574468,0.159574,0.06,0.009574468,1,0.009574468,11.4,0.00084,37,0.0000226991,0.023,0.158893496,0.680972126
Hungerford Dry,1,11/14/2024,12/17/2024,,1.943516309,1.943516,0.06,0.116610979,1,0.116610979,11.4,0.01023,33,0.000309971,0.31,2.169794922,9.299121094
Hungerford Dry,2,11/14/2024,12/17/2024,,7.762927605,7.762928,0.06,0.465775656,1,0.465775656,11.4,0.04086,33,0.001238106,1.238,8.666745333,37.14319428
Hungerford Wet,1,11/14/2024,12/17/2024,,1.279236277,1.279236,0.06,0.076754177,1,0.076754177,11.4,0.00673,33,0.000204025,0.204,1.428174472,6.120747736
Hungerford Wet,2,11/14/2024,12/17/2024,,15.51129944,15.511299,0.06,0.930677966,1,0.930677966,11.4,0.08164,33,0.002473891,2.474,17.3172402,74.21674371
Hungerford Wet,3,11/14/2024,12/17/2024,,8.980111376,8.980111,0.06,0.538806683,1,0.538806683,11.4,0.04726,33,0.001432235,1.432,10.02564268,42.96704008
Hungerford Wet,5,11/14/2024,12/17/2024,,0.913285601,0.913286,0.06,0.054797136,1,0.054797136,11.4,0.00481,33,0.00014566,0.146,1.019617098,4.369787563
Wade Dry,1,11/14/2024,12/17/2024,,0.312649165,0.312649,0.06,0.01875895,1,0.01875895,11.4,0.00165,33,0.0000498643,0.05,0.349050104,1.495929018
Wade Dry,2,11/14/2024,12/17/2024,,0.284805091,0.284805,0.06,0.017088305,1,0.017088305,11.4,0.0015,33,0.0000454235,0.045,0.317964217,1.362703787
Wade Dry,3,11/14/2024,12/17/2024,,0.412092283,0.412092,0.06,0.024725537,1,0.024725537,11.4,0.00217,33,0.0000657244,0.066,0.46007113,1.971733413
Wade Dry,4,11/14/2024,12/17/2024,,0.435958632,0.435959,0.06,0.026157518,1,0.026157518,11.4,0.00229,33,0.0000695309,0.07,0.486716176,2.085926467
Wade Dry,5,11/14/2024,12/17/2024,,0.30071599,0.300716,0.06,0.018042959,1,0.018042959,11.4,0.00158,33,0.0000479611,0.048,0.335727581,1.43883249
Wade Wet,1,11/14/2024,12/17/2024,,0.428003182,0.428003,0.06,0.025680191,1,0.025680191,11.4,0.00225,33,0.0000682621,0.068,0.477834494,2.047862116
Wade Wet,5,11/14/2024,12/17/2024,,0.658711217,0.658711,0.06,0.039522673,1,0.039522673,11.4,0.00347,33,0.000105058,0.105,0.735403273,3.151728312
Wade Wet,6,11/14/2024,12/17/2024,,0.817820207,0.81782,0.06,0.049069212,1,0.049069212,11.4,0.0043,33,0.000130434,0.13,0.913036914,3.913015344
Wade Wet,7,11/14/2024,12/17/2024,,0.372315036,0.372315,0.06,0.022338902,1,0.022338902,11.4,0.00196,33,0.0000593804,0.059,0.415662719,1.781411655
Wade Wet,8,11/14/2024,12/17/2024,,12.29096045,12.29096,0.06,0.737457627,1,0.737457627,11.4,0.06469,33,0.001960281,1.96,13.72196542,58.80842322
Potash Dry,1,10/29/2024,12/17/2024,,0.583134447,0.583134,0.06,0.034988067,1,0.034988067,11.4,0.00307,49,0.0000626353,0.063,0.438446953,1.879058369
Potash Dry,2,10/29/2024,12/17/2024,,0.909307876,0.909308,0.06,0.054558473,1,0.054558473,11.4,0.00479,49,0.00009767,0.098,0.683690132,2.930100567
Potash Dry,3,10/29/2024,12/17/2024,,1.056483691,1.056484,0.06,0.063389021,1,0.063389021,11.4,0.00556,49,0.000113478,0.113,0.79434864,3.404351315
Potash Dry,4,10/29/2024,12/17/2024,,0.957040573,0.957041,0.06,0.057422434,1,0.057422434,11.4,0.00504,49,0.000102797,0.103,0.719579378,3.08391162
Hungerford Dry,1,12/17/2024,1/20/2025,,35.29875645,35.298756,0.06,2.117925387,1,2.117925387,11.4,0.18578,34,0.005464204,5.464,38.24942649,163.9261135
Hungerford Wet,1,12/17/2024,1/20/2025,,0.68997669,0.689977,0.06,0.041398601,1,0.041398601,11.4,0.00363,34,0.000106808,0.107,0.74765276,3.204226114
Hungerford Wet,2,12/17/2024,1/20/2025,,3.996669997,3.99667,0.06,0.2398002,1,0.2398002,11.4,0.02104,34,0.00061868,0.619,4.330756962,18.56038698
Hungerford Wet,3,12/17/2024,1/20/2025,,2.068598069,2.068598,0.06,0.124115884,1,0.124115884,11.4,0.01089,34,0.000320216,0.32,2.241514935,9.606492579
Wade Dry,1,12/17/2024,1/20/2025,,0.173826174,0.173826,0.06,0.01042957,1,0.01042957,11.4,0.00091,34,0.0000269081,0.027,0.188356535,0.807242293
Wade Dry,2,12/17/2024,1/20/2025,,0.353646354,0.353646,0.06,0.021218781,1,0.021218781,11.4,0.00186,34,0.000054744,0.055,0.383208123,1.642320528
Wade Dry,3,12/17/2024,1/20/2025,,0.53013653,0.530137,0.06,0.031808192,1,0.031808192,11.4,0.00279,34,0.0000820645,0.082,0.574451348,2.46193435
Wade Dry,4,12/17/2024,1/20/2025,,0.27039627,0.270396,0.06,0.016223776,1,0.016223776,11.4,0.00142,34,0.000041857,0.042,0.292999055,1.255710234
Wade Dry,5,12/17/2024,1/20/2025,,0.34032634,0.340326,0.06,0.02041958,1,0.02041958,11.4,0.00179,34,0.0000526821,0.053,0.368774672,1.580462881
Wade Wet,1,12/17/2024,1/20/2025,,0.506826507,0.506827,0.06,0.03040959,1,0.03040959,11.4,0.00267,34,0.0000784561,0.078,0.549192809,2.353683468
Wade Wet,5,12/17/2024,1/20/2025,,0.656676657,0.656677,0.06,0.039400599,1,0.039400599,11.4,0.00346,34,0.000101653,0.102,0.711569133,3.049581997
Wade Wet,6,12/17/2024,1/20/2025,,0.836496836,0.836497,0.06,0.05018981,1,0.05018981,11.4,0.0044,34,0.000129489,0.129,0.906420721,3.884660231
Wade Wet,7,12/17/2024,1/20/2025,,0.223776224,0.223776,0.06,0.013426573,1,0.013426573,11.4,0.00118,34,0.0000346403,0.035,0.242481976,1.03920847
Wade Wet,8,12/17/2024,1/20/2025,,0.78987679,0.789877,0.06,0.047392607,1,0.047392607,11.4,0.00416,34,0.000122272,0.122,0.855903642,3.668158467
Hungerford Wet,1,1/20/2025,2/24/2025,,0.294491525,0.294492,0.06,0.017669492,1,0.017669492,11.4,0.00155,35,0.0000442844,0.044,0.309991079,1.328533197
Hungerford Wet,2,1/20/2025,2/24/2025,,0.333333333,0.333333,0.06,0.02,1,0.02,11.4,0.00175,35,0.0000501253,0.05,0.350877193,1.503759398
Hungerford Wet,3,1/20/2025,2/24/2025,,0.524011299,0.524011,0.06,0.031440678,1,0.031440678,11.4,0.00276,35,0.0000787987,0.079,0.551590842,2.363960749
Wade Dry,1,1/20/2025,2/21/2025,,0.322740113,0.32274,0.06,0.019364407,1,0.019364407,11.4,0.0017,32,0.0000530823,0.053,0.371575788,1.592467663
Wade Dry,2,1/20/2025,2/21/2025,,0.548728814,0.548729,0.06,0.032923729,1,0.032923729,11.4,0.00289,32,0.0000902514,0.09,0.631760147,2.707543488
Wade Dry,3,1/20/2025,2/21/2025,,0.608757062,0.608757,0.06,0.036525424,1,0.036525424,11.4,0.0032,32,0.000100125,0.1,0.700871618,3.003735504
Wade Dry,4,1/20/2025,2/21/2025,,0.209745763,0.209746,0.06,0.012584746,1,0.012584746,11.4,0.0011,32,0.0000344977,0.034,0.241483608,1.03492975
Wade Dry,5,1/20/2025,2/21/2025,,0.294491525,0.294492,0.06,0.017669492,1,0.017669492,11.4,0.00155,32,0.0000484361,0.048,0.339052743,1.453083185
Wade Wet,1,1/20/2025,2/21/2025,,1.039548023,1.039548,0.06,0.062372881,1,0.062372881,11.4,0.00547,32,0.000170978,0.171,1.196848052,5.129348796
Wade Wet,5,1/20/2025,2/21/2025,,0.516949153,0.516949,0.06,0.031016949,1,0.031016949,11.4,0.00272,32,0.0000850245,0.085,0.595171722,2.55073595
Wade Wet,6,1/20/2025,2/21/2025,,0.848870056,0.84887,0.06,0.050932203,1,0.050932203,11.4,0.00447,32,0.000139617,0.14,0.977317499,4.188503568
Wade Wet,7,1/20/2025,2/21/2025,,0.672316384,0.672316,0.06,0.040338983,1,0.040338983,11.4,0.00354,32,0.000110578,0.111,0.774048469,3.31735058
Wade Wet,8,1/20/2025,2/21/2025,,0.350988701,0.350989,0.06,0.021059322,1,0.021059322,11.4,0.00185,32,0.0000577284,0.058,0.404098833,1.731852141
Hungerford Dry,1,2/24/2025,3/28/2025,,13.89056225,13.890562,0.06,0.833433735,1,0.833433735,11.4,0.07311,32,0.002284632,2.285,15.99242364,68.53895847
Hungerford Wet,2,2/24/2025,3/28/2025,,1.601405622,1.601406,0.06,0.096084337,1,0.096084337,11.4,0.00843,32,0.000263389,0.263,1.843723579,7.901672479
Wade Dry,1,2/21/2025,3/28/2025,,0.245983936,0.245984,0.06,0.014759036,1,0.014759036,11.4,0.00129,35,0.0000369901,0.037,0.258930459,1.109701966
Wade Dry,2,2/21/2025,3/28/2025,,1.748661312,1.748661,0.06,0.104919679,1,0.104919679,11.4,0.0092,35,0.000262957,0.263,1.840696118,7.888697648
Wade Dry,3,2/21/2025,3/28/2025,,1.08601071,1.086011,0.06,0.065160643,1,0.065160643,11.4,0.00572,35,0.00016331,0.163,1.143169168,4.899296434
Wade Dry,4,2/21/2025,3/28/2025,,0.256024096,0.256024,0.06,0.015361446,1,0.015361446,11.4,0.00135,35,0.0000384999,0.038,0.269499049,1.154995924
Wade Dry,5,2/21/2025,3/28/2025,,0.292838019,0.292838,0.06,0.017570281,1,0.017570281,11.4,0.00154,35,0.0000440358,0.044,0.308250546,1.321073769
Wade Wet,1,2/21/2025,3/28/2025,,0.691097724,0.691098,0.06,0.041465863,1,0.041465863,11.4,0.00364,35,0.000103924,0.104,0.727471289,3.117734094
Wade Wet,5,2/21/2025,3/28/2025,,0.343038822,0.343039,0.06,0.020582329,1,0.020582329,11.4,0.00181,35,0.0000515848,0.052,0.361093497,1.547543558
